	Adult_FG_1	Adult_FG_2	Adult_FG_3	Adult_OV_1	Adult_OV_2	Adult_OV_3
FUN_000291-T1	1	46	13	3	45	11
FUN_000292-T1	0	0	0	0	1	2
FUN_000293-T1	1	22	1	0	18	4
FUN_000294-T1	10	330	91	27	314	71
FUN_000295-T1	0	2	2	2	11	0
FUN_000296-T1	1	87	12	10	140	15
FUN_000297-T1	3	26	5	3	40	13
FUN_000298-T1	0	2	1	0	0	0
FUN_000299-T1	2	9	0	3	9	0
FUN_000300-T1	8	63	18	1	9	7
FUN_000301-T1	2	6	0	1	6	2
FUN_000302-T1	1	46	5	3	68	6
FUN_000303-T1	0	1	1	0	4	0
FUN_000304-T1	6	92	11	8	119	22
FUN_000305-T1	4	101	19	14	256	31
FUN_000306-T1	0	16	0	1	28	7
FUN_000307-T1	4	35	1	3	51	7
FUN_000308-T1	15	381	81	12	257	29
FUN_000309-T1	1	49	8	3	72	21
FUN_000310-T1	0	29	3	2	24	5
FUN_000311-T1	3	117	10	6	111	27
FUN_000312-T1	1	73	14	21	134	40
FUN_000313-T1	1	1	0	17	23	61
FUN_000314-T1	1	49	8	6	89	7
FUN_000315-T1	6	64	16	5	16	7
FUN_000316-T1	0	2	2	0	1	0
FUN_000317-T1	0	0	0	0	0	0
FUN_000318-T1	12	154	26	15	196	47
FUN_000319-T1	0	0	0	0	0	0
FUN_000320-T1	0	0	0	0	3	0
FUN_000321-T1	0	2	0	0	0	0
FUN_000322-T1	0	0	0	0	0	0
FUN_000323-T1	0	0	0	0	0	0
FUN_000324-T1	0	0	0	0	0	0
FUN_000325-T1	0	0	0	0	1	0
FUN_000326-T1	0	0	0	0	0	0
FUN_000327-T1	0	0	0	0	0	0
FUN_000328-T1	0	0	0	0	0	0
FUN_000329-T1	0	0	0	0	0	0
FUN_000330-T1	0	0	0	0	0	0
FUN_000331-T1	0	1	0	0	1	0
FUN_000332-T1	0	0	0	0	0	0
FUN_000333-T1	0	0	0	0	0	0
FUN_000334-T1	1	7	4	0	6	1
FUN_000335-T1	0	0	0	0	0	0
FUN_000336-T1	0	0	0	0	0	0
FUN_000337-T1	0	0	0	0	0	0
FUN_000338-T1	0	0	0	0	0	0
FUN_000339-T1	0	0	0	0	0	0
FUN_000340-T1	0	0	0	0	0	0
FUN_000341-T1	0	0	0	0	0	0
